"Payment recipients by postcode and payment type, March 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0,0,0,<20,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,<20,<20,176,<20,24,0,<20,<20,292,136,123,332,29,240,<20,20,<20,514,31,<20,0,<20,0,0,0,22,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0,0,<20,0,<20,0,0,0,28,<20,<20,<20,0,<20,0,0,0,27,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0,0,<20,0,0,0,0,0,0,0,0,<20,0,<20,0,<20,0,<20,0,0,0,<20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0,0,<20,0,0,0,0,0,<20,<20,<20,<20,0,<20,0,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,28,100,"1,824",54,433,<20,152,<20,899,"1,836","1,652","1,467",198,797,79,345,<20,"3,425",207,<20,0,<20,0,<20,<20,108,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,0,0,<20,0,<20,0,<20,0,<20,<20,<20,<20,0,<20,0,<20,0,<20,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,24,118,980,<20,361,<20,128,<20,545,"1,337","1,239","1,019",126,472,68,300,<20,"2,091",94,<20,<20,<20,0,<20,<20,87,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,0,0,0,0,0,0,0,0,<20,<20,<20,<20,<20,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,0,0,<20,0,<20,0,<20,0,<20,<20,0,<20,0,<20,0,0,0,<20,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,0,0,0,<20,0,0,0,0,0,<20,0,<20,<20,0,0,0,0,<20,0,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,<20,21,693,<20,150,<20,44,0,404,618,571,613,69,399,29,93,<20,"1,327",122,<20,0,<20,0,<20,0,34,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,0,0,<20,<20,<20,0,0,0,<20,<20,<20,<20,<20,<20,<20,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
